company_type,financing_date,competitor_id,core_personnel,hhcTags,investors,hhc_province,hhc_one_tag_name,hhc_round,product_id,hhc_tags,logo,competitor_list,hasStore,hhc_city,stock_code,start_date,timestamp,brief,area,website,amount,company_id,business,hhc_tags_name,product_name,province_name,tags,investor,round,hhc_tag_length,company_name
local,1678852800,,"[{""desc"": ""-"", ""name"": ""王明祥"", ""keyNo"": ""p8ea75962909503addb24939c35bfe54"", ""imgUrl"": """", ""position"": ""董事长""}]","[{'tagId': 42, 'lv': 1, 'tagName': '先进制造', 'parentid': None}, {'tagId': 145, 'lv': 2, 'tagName': '汽车', 'parentid': 42}, {'tagId': 852, 'lv': 3, 'tagName': '零部件', 'parentid': 145}]",,江苏省,,IPO,224a7af2-0c71-4cb5-ab9c-a8cfcd66572b,"[42, 145, 852]",/22/224a7af2-0c71-4cb5-ab9c-a8cfcd66572b.jpg,,False,苏州市,837663.BJ,950803200,1678860301,明阳科技是一家汽车零部件研发企业，主要产品包括自润滑轴承(DU)、金属粉末注射成形零件(MIM)、粉末冶金零件(PM)等，产品广泛应用于汽车座椅、汽车动力系统等。同时公司还为企业提供定制化服务。,苏州市,http://www.mingyang.org/,1.53亿人民币,c6ee898422b92efa8464db2fa954855b,汽车零部件研发企业,"[""先进制造"",""汽车"",""零部件""]",明阳科技,,"[""定制化服务"", ""零部件研发"", ""汽车零部件""]","[""公开发行""]",IPO(837663.BJ),1,明阳科技（苏州）股份有限公司
local,1678852800,,[],"[{'tagId': 41, 'lv': 1, 'tagName': '传媒娱乐', 'parentid': None}, {'tagId': 112, 'lv': 2, 'tagName': '游戏', 'parentid': 41}]",,浙江省,,战略融资,3e29036fb938acd890a7444505cfe050,"[41, 112]",/3e/3e29036fb938acd890a7444505cfe050.jpg,,False,杭州市,-,1665936000,1678873801,液态喵游戏是一家游戏开发商，公司是由清华大学、中国美院等多所高校学子组成的团队，规模仅6人。B站账号为“薛定谔方程程程”。专注于与游戏开发与发行，已开发《五维空间》、《Messy Up》、《糖果镇大作战》等多款游戏。,杭州市,,未披露,ad682c0612a6221d2381b4a8bddfca44,游戏开发商,"[""传媒娱乐"",""游戏""]",液态喵游戏,,"[""游戏运营"", ""手游"", ""电竞"", ""游戏开发""]","[""上海鹰角网络科技有限公司""]",战略融资,0,杭州液态喵网络科技有限公司
local,1678852800,,"[{""desc"": ""葛凯，男，1966年5月出生，中国国籍，无境外永久居留权，本科学历。1998-2002年就职于珠海康威特通用电源有限公司，任销售副总经理；2002年10月至今创立国能新材及其前身，现任总经理。"", ""name"": ""葛凯"", ""keyNo"": ""p64024440cf45f51f86a9848cc15ea7b"", ""imgUrl"": """", ""position"": ""总经理""}]","[{'tagId': 42, 'lv': 1, 'tagName': '先进制造', 'parentid': None}, {'tagId': 970, 'lv': 2, 'tagName': '五金机械', 'parentid': 42}, {'tagId': 146, 'lv': 2, 'tagName': '新材料', 'parentid': 42}]",,广东省,,定向增发,8e56bc0f-5311-4929-9c14-c600bbab86a3,"[42, 970, 146]",/8e/8e56bc0f-5311-4929-9c14-c600bbab86a3.jpg,,False,珠海市,-,1040659200,1678873801,国能新材是一家复合材料及压铸五金制品生产商，主要产品包括高频电路板材、天线耦合板、高性能玻璃钢天线罩、全向天线罩以及天线内装件等，主要应用于航天航空、通讯等领域。,珠海市,http://www.zhgn.com,3898.61万人民币,5f5ad7b781607c43152482a479ab1c79,复合材料及压铸五金制品生产商,"[""先进制造"",""五金机械"",""新材料""]",国能新材,,"[""改性塑料"", ""材料类"", ""新材料"", ""功能复合材料"", ""结构复合材料"", ""新型复合材料""]","[""珠海阿贝企业管理咨询中心(有限合伙)"",""瑞相资本"",""广发证券"",""正菱创投""]",定向增发,0,珠海国能新材料股份有限公司
local,1678766400,,"[{""desc"": ""-"", ""name"": ""陈迈"", ""keyNo"": ""pca779445ae70a4edda6a911500f0467"", ""imgUrl"": """", ""position"": ""董事长""}, {""desc"": ""-"", ""name"": ""魏旭峰"", ""keyNo"": ""pa1029a947444f39e084e95de392c7bc"", ""imgUrl"": """", ""position"": ""总经理""}, {""desc"": ""-"", ""name"": ""陶茜"", ""keyNo"": ""pr6732e89eac384cb2d68db8813a5a5b"", ""imgUrl"": """", ""position"": ""董事""}, {""desc"": ""-"", ""name"": ""崔赓"", ""keyNo"": ""pr49053eaef9bf4a83252b54e1335883"", ""imgUrl"": """", ""position"": ""董事""}, {""desc"": ""-"", ""name"": ""武津生"", ""keyNo"": ""pr52f257f98e236d8e1b0127c59189cd"", ""imgUrl"": """", ""position"": ""监事""}, {""desc"": ""-"", ""name"": ""张纯峰"", ""keyNo"": ""p83edf687e3131b19ad5daa82ddbf1db"", ""imgUrl"": """", ""position"": ""董事""}]","[{'tagId': 40, 'lv': 1, 'tagName': '生命健康', 'parentid': None}, {'tagId': 90, 'lv': 2, 'tagName': '医疗器械', 'parentid': 40}, {'tagId': 92, 'lv': 2, 'tagName': '医疗服务', 'parentid': 40}, {'tagId': 696, 'lv': 2, 'tagName': '医药外包', 'parentid': 40}, {'tagId': 1023, 'lv': 2, 'tagName': '企业服务', 'parentid': 45}]",,江苏省,,A轮,58e313a3-f63f-4840-a666-7bd28b3d7391,"[40, 90, 92, 696, 1023]",/58/58e313a3-f63f-4840-a666-7bd28b3d7391.jpg,,False,泰州市,-,1499184000,1678761301,美凤力医疗科技有限公司，位于中国医药城，是一家主要从事动物实验及相关产品研发的公共技术服务平台。拥有1250平米标准化实验楼，按照国际标准的动物实验室要求，解决通风、恒温等环节，建设手术室、动物饲养室等，配置相关仪器设备，包括麻醉机、手术床、C型臂X线机、MRI，监护仪等。,泰州市,http://www.meifengli.com,约亿元人民币,ead7484969f797467423ae9bf5d8d9f9,动物实验及相关产品研发的公共技术服务平台,"[""生命健康"",""医疗器械"",""医疗服务"",""医药外包"",""企业服务""]",美凤力,,"[""医学检验实验室"", ""第三方医疗机构"", ""医疗健康"", ""医疗机构""]","[""未披露""]",A轮,4,江苏美凤力医疗科技有限公司
local,1678766400,,"[{""desc"": ""-"", ""name"": ""刘同庆"", ""keyNo"": ""p99051b9d7c82f95a746d62741b5074e"", ""imgUrl"": """", ""position"": ""执行董事""}, {""desc"": ""-"", ""name"": ""金萍"", ""keyNo"": ""pr5248ef96e1aaff1a913cd570ca9c18"", ""imgUrl"": """", ""position"": ""监事""}]","[{'tagId': 42, 'lv': 1, 'tagName': '先进制造', 'parentid': None}, {'tagId': 45, 'lv': 1, 'tagName': '传统产业', 'parentid': None}, {'tagId': 142, 'lv': 2, 'tagName': '半导体', 'parentid': 42}, {'tagId': 179, 'lv': 2, 'tagName': '家电', 'parentid': 45}, {'tagId': 705, 'lv': 2, 'tagName': '电子元件', 'parentid': 42}]",,江苏省,,战略融资,dd496eca-2d51-46e6-92a8-d2cd75f33113,"[42, 45, 142, 179, 705]",/dd/dd496eca-2d51-46e6-92a8-d2cd75f33113.jpg,,False,无锡市,-,1269446400,1678854901,无锡芯感智半导体有限公司由中国半导体压阻式压力传感器龙头企业---麦克传感器股份有限公司投资设立，坐落于无锡市国家集成电路设计中心。公司自成立以来，一直致力于MEMS压力传感器的研究开发，依托麦克传感器有限公司的封装测试，已成功开发出扩散硅压力敏感芯片、SOI高温压力敏感芯片、压力传感器、压力传感器模块、民用压力变送器、工业用压力变送器和液位变送器等系列产品，广泛用于医疗电子、汽车电子、家电、净化设备、水泵、空压机、气象、移动设备以及工业自动化等领域。,无锡市,http://www.sencoch.com/,未披露,23849d62dcb53c77d60ab50963548b30,MEMS压力传感器的研发商,"[""先进制造"",""传统产业"",""半导体"",""家电"",""电子元件""]",芯感智,,"[""先进制造"", ""关键元器件"", ""零部件制造"", ""传感器"", ""传感设备""]","[""无锡金控启源投资""]",战略融资,3,无锡芯感智半导体有限公司
local,1678766400,,[],"[{'tagId': 42, 'lv': 1, 'tagName': '先进制造', 'parentid': None}, {'tagId': 146, 'lv': 2, 'tagName': '新材料', 'parentid': 42}, {'tagId': 43, 'lv': 1, 'tagName': '节能环保', 'parentid': None}, {'tagId': 166, 'lv': 2, 'tagName': '储能', 'parentid': 43}, {'tagId': 707, 'lv': 2, 'tagName': '电池', 'parentid': 43}]",,上海市,,天使轮,e408c6051dd8a506e55496e88d2fa932,"[42, 146, 43, 166, 707]",,,False,上海市,-,1670947200,1678854001,乐普钠电主要聚焦在钠离子电池技术创新与工程化应用，以市场为导向，集研发、生产与销售于一体的新一代动力电池材料与储能电池系统供应商，提供绿色环保、可持续能源提供解决方案。,上海市,,数千万元人民币,6281402756a2dac3943fd26aee7883b4,钠离子电池技术供应商,"[""先进制造"",""新材料"",""节能环保"",""储能"",""电池""]",乐普钠电,,"[""电池技术"", ""钠离子电池"", ""节能环保材料"", ""锂电子材料"", ""新能源""]","[""未披露""]",天使轮,3,乐普钠电（上海）技术有限公司
local,1678766400,,[],"[{'tagId': 38, 'lv': 1, 'tagName': '信息科技', 'parentid': None}, {'tagId': 54, 'lv': 2, 'tagName': '大数据', 'parentid': 38}, {'tagId': 56, 'lv': 2, 'tagName': '软件', 'parentid': 38}, {'tagId': 724, 'lv': 3, 'tagName': '信息化', 'parentid': 56}, {'tagId': 40, 'lv': 1, 'tagName': '生命健康', 'parentid': None}, {'tagId': 92, 'lv': 2, 'tagName': '医疗服务', 'parentid': 40}]",,湖北省,,天使轮,b52fdefc5ebc2d0c839f79dc346f98e0,"[38, 54, 56, 724, 40, 92]",,,False,武汉市,-,,1678837801,垂直于医疗信息化场景的一家低代码平台，涵盖DRG/DIP全院解决方案、智慧临床、智慧管理、智慧服务、医院测评、智慧医共体等核心板块，平台拥有100+应用库，N+报表库，提供100+款医疗软件模板，模板包含一套完整的页面、数据库、业务逻辑，省去从0到1开发过程，降低开发难度、节省大量时间，做到了开箱即用,武汉市,https://www.fusiontech.cn/,5000万人民币,36dd69f96abd1a845d55ba3bc49c9781,低代码医疗信息化厂商,"[""信息科技"",""大数据"",""软件"",""信息化"",""生命健康"",""医疗服务""]",福鑫科创,,"[""医疗大数据云平台"", ""医疗平台"", ""医疗软件"", ""医疗大数据"", ""医疗""]","[""长岭资本""]",天使轮,3,湖北福鑫科创信息技术有限公司
local,1678766400,,[],"[{'tagId': 38, 'lv': 1, 'tagName': '信息科技', 'parentid': None}, {'tagId': 54, 'lv': 2, 'tagName': '大数据', 'parentid': 38}, {'tagId': 61, 'lv': 2, 'tagName': '人工智能', 'parentid': 38}, {'tagId': 735, 'lv': 3, 'tagName': '机器学习', 'parentid': 61}, {'tagId': 42, 'lv': 1, 'tagName': '先进制造', 'parentid': None}, {'tagId': 146, 'lv': 2, 'tagName': '新材料', 'parentid': 42}]",,上海市,,天使轮,1ba9ffc36ef19595117447b13a1bb19d,"[38, 54, 61, 735, 42, 146]",/1b/1ba9ffc36ef19595117447b13a1bb19d.jpg,,False,上海市,-,1640534400,1678770302,自主研发了材料信息人工智能和数据管理平台，借助机器学习、高通量计算以及高通量实验等技术，为新材料研发提供高效能的解决方案，提高新材料研发效率，降低研发风险，并推动材料相关制造业在研发、工艺、流程等核心环节的高效创新，提升其赋能企业的价值链地位和长期竞争优势,上海市,http://www.deepverse.info,数千万元人民币,0ce6f1846c94944fd2d88431229a3e60,人工智能新材料研发商,"[""信息科技"",""大数据"",""人工智能"",""机器学习"",""先进制造"",""新材料""]",幻量科技,,"[""人工智能行业应用"", ""材料类"", ""材料研发"", ""人工智能"", ""数据管理平台""]","[""红杉种子基金"",""巢生投资"",""真格基金"",""Newlight Partners""]",种子轮,3,上海深鱼赛跑科技有限公司
local,1678766400,,"[{""desc"": ""高裕弟博士承担和完成国家各级重大科技攻关项目15项，评选列入科技部“中青年科技创新领军人才计划”、江苏省首批“创业创新人才引进计划”和江苏省“333人才培养计划”，曾荣获国家技术发明一等奖、教育部技术发明一等奖、中国专利优秀奖、江苏省“青年科技奖”、电子信息科学技术一等奖、信息产业重大技术发明、北京市发明专利一等奖等奖项。截至2015年12月，高裕弟博士累计申请专利69件，包括发明专利49件，包含13件国外专利，并在若干关键技术领域也实现技术突破,并负责制定了国际标准IEC 62341-6-1《OLED光学和光电参数的测试方法》。"", ""name"": "" 高裕弟"", ""keyNo"": ""p5714423a385a5441e163f88b932d3b0"", ""imgUrl"": null, ""position"": ""董事长""}, {""desc"": ""-"", ""name"": "" 郝力强"", ""keyNo"": ""pr04d16a94339e3405c710c8662bd869"", ""imgUrl"": null, ""position"": ""监事""}, {""desc"": ""李国伟先生,董事,香港永久性居民,1958年出生,毕业于香港大学,主修商业管理。现任香港上市公司亿都(国际控股)有限公司之行政总裁兼公司执行董事。李国伟先生曾任香港花旗银行企业货款部长官,具有多年银行业务、财务及管理顾问及实业管理经验。"", ""name"": "" 李国伟"", ""keyNo"": ""pb1b255d1bd85359f4cc1af46770b2e4"", ""imgUrl"": null, ""position"": ""董事""}, {""desc"": ""-"", ""name"": "" 孙剑"", ""keyNo"": ""pr36f298ff77d452826d18abc9b88218"", ""imgUrl"": null, ""position"": ""董事""}]","[{'tagId': 42, 'lv': 1, 'tagName': '先进制造', 'parentid': None}, {'tagId': 149, 'lv': 2, 'tagName': 'LED', 'parentid': 42}, {'tagId': 705, 'lv': 2, 'tagName': '电子元件', 'parentid': 42}, {'tagId': 1023, 'lv': 2, 'tagName': '企业服务', 'parentid': 45}]",,江苏省,,A轮,2c810748-48a4-49f2-94f5-8a6800cc98ef,"[42, 149, 705, 1023]",/2c/2c810748-48a4-49f2-94f5-8a6800cc98ef.jpg,,False,苏州市,-,1293638400,1678761301,清越科技是一家新型显示整体解决方案创新型供应商，专注OLED事业20余年，已发展成为集研发、生产、销售于一体。,苏州市,http://www.visionox.com,数千万元人民币,ae2619a395afb5ba28707debaffac14a,发光显示器整体解决方案供应商,"[""先进制造"",""LED"",""电子元件"",""企业服务""]",清越科技,,"[""电子元器件"", ""企业通用服务"", ""电子器件"", ""显示器件"", ""行业解决方案"", ""企业服务"", ""机械设备"", ""电子设备"", ""生产制造""]","[""DCM Ventures"",""一度资本"",""特想投资""]",A轮,3,苏州清越光电科技股份有限公司
local,1678766400,,"[{""desc"": ""王世乾，瑞步康创始人。荷兰代尔夫特理工大学博士后研究员，先后参与欧盟MindWalker和Symbitron外骨骼机器人的研发，并摘得2016“赢在苏州”国际精英欧洲赛区创业大赛决赛第一名。"", ""name"": ""王世乾"", ""keyNo"": ""pb09e57890324e3ff781b51abda2b6ef"", ""imgUrl"": """", ""position"": ""创始人""}]","[{'tagId': 90, 'lv': 2, 'tagName': '医疗器械', 'parentid': 40}, {'tagId': 40, 'lv': 1, 'tagName': '生命健康', 'parentid': None}, {'tagId': 952, 'lv': 3, 'tagName': '康复', 'parentid': 92}, {'tagId': 92, 'lv': 2, 'tagName': '医疗服务', 'parentid': 40}]",,江苏省,,战略融资,e8cfe415-5735-48d4-8179-97024025b474,"[90, 40, 952, 92]",/e8/e8cfe415-5735-48d4-8179-97024025b474.jpg,,False,苏州市,-,1458662400,1678871101,瑞步康是一个医疗器械和康复器械生产商，公司致力于高端医疗器械和康复器械的研发、生产与销售，目前主要以外骨骼机器人中的关节技术为突破口，重点开发适用于智能假肢的智能膝关节和踝关节产品。,苏州市,http://reboocon.com,未披露,3c132193d7cbe8760cf6e119e92e9d86,医疗器械和康复器械生产商,"[""医疗器械"",""生命健康"",""康复"",""医疗服务""]",瑞步康,,"[""人体"", ""医疗器械及硬件"", ""机器人"", ""器械"", ""医疗健康"", ""康复机器人"", ""医疗器械"", ""智能""]","[""高美资本""]",战略融资,2,苏州瑞步康医疗科技有限公司
