sub_str,num1,num2
AATBZWCWZAGTYJCZPKCL,6,59
UXUTQRXZGITQRAXIBSJV,7,10
WZRAUTMJXKKDEDXRVBDL,4,43
PODSLOVHRFAPUBOAXXLL,9,66
GZCEILZDFWKTMFTCKUEP,4,60
XNRJJVHATHQZVZEHYBOM,1,92
SVOYLMPDQFBCIVBDFAUZ,10,31
UJASYMPHSOKOQPLOVFDR,2,18
NFVKHYSMYCFAEEPHATXZ,7,28
LXXYBBCHRRLZVCDLYMNN,3,46
MPPQPMTDNIYUTZTMOCTG,6,29
DOXLPTPZGQXAOLJTLRQW,3,65
HELMGQXLDVQPISTONITY,1,63
SNLSJGAJWARZWYEJZELC,3,16
HUILLVXMVEHWXWRRRTNW,7,82
VZYHBBLRTUGTHQZKPOJL,6,17
GRAQVUWFGFBLBKZQEFPC,6,81
QMFNQPNPABETZKBYOUNR,7,57
TKMDBDIJMZAOGXOJEQYI,5,34
TKBNCENQMKMPJYVNEYDF,7,47
BFUVQRGNYYCKWPNZTOHN,2,41
YCEWLQDKACAHRSMDIKWC,7,42
AEHSQURUJCNJIYTMQUWT,10,68
NKVEJAGSJQOABNHDCZDZ,8,93
CVXQKOWKXARHHAYOBQYE,8,73
SAICLSTNTHHZSGYLVPQB,6,34
XGJYLKDQDZOPMYSBBHBY,7,80
HOKKZZYPIDIKMUBPGQGS,3,12
WVUIQFPYLVDTJJNBOWXT,4,33
DKMGZPXPJGTSBIGKRMXX,3,50
PWTJOTEBGCVIZDCIBTIA,2,45
HQOEOMFBOJWJUPFCSQDR,6,81
YAKDLLXYTDBXIPEAZXPC,8,61
JAQYABSKOFTSGVGCXGHJ,6,67
GFCTPSJSIVGISVQJWHXR,1,37
LDJHRIHPSFKNYMKZNUOE,3,94
RAJOZCTSQKRILFVGWRXE,6,100
DEZURIIIBSEZGJJDJAEM,10,52
DUKXMQABYWKYQIATFPYM,7,34
EVIALKLTIFDZUQVGRQHZ,10,53
HGODWMWYTVEWICXNNARH,1,71
KHFTOOWLTTAMEBULHKZV,1,82
PSCOTQBKRAKVKRTVHNFJ,1,55
IBFDXVWPTAUYJUGCVBHW,5,76
LHNVUCKJUCCOPHIVGWPN,8,80
WIFLMKELJDRXYLVSEJIW,7,26
GQIWLMVNMXWZCRGUIGVH,6,63
YAZQSZSEHUYQRMLEWSFN,2,52
SLDAOVEYSOBIDNZOPPJV,10,49
INCWTLYYDCTFUOXLAJSF,5,72
UJERNSDOCFVARPFJVADI,6,13
ACIPIGVOZIEHCIAFSGXM,9,24
YSPSQCVYSHYCXZVBCJZU,9,44
KUSZSIOQDJHLWWNCSXHC,5,70
WVOGVGQDUSTAKLQQQWPX,9,29
QUAXDSMVHUYZPJGONNWG,9,69
FSCHRXCGGFREOQENKSJG,6,83
HREHNUCYFHOTHFDLGTBQ,5,67
KIPZAXUSQUBNQHBJEPEV,8,97
GCDPILWDWGZOJFOKKWQO,2,44
EUGSSDLNTZHIXXJERJOQ,3,73
VYPDCGODCZJSGRKUQFRP,7,100
DVSSOIXPMGVBCIAVHHKM,1,92
LCYGOADKPQVMKYCIIPMI,1,74
YIMOAGHMRPNMOLHBMVCX,7,31
JDNJHVDISMGIHLXLWMJM,10,11
XTWMXZAQKJITRPFJTZYD,8,57
DSINIKDHGTPNTMSLACJZ,6,34
KCWKZBCGKYXOSOZBFQYA,3,70
FIERWEMXBOLHPVDDNDLZ,8,32
LLVOCMNKDRVCTHVDMVES,5,23
GUVFRZHMROAXPDDKQHXT,2,53
CNVSJQNWHLQTBGZGRCYZ,7,85
DRRMHGQLAQIILIGZTTJO,4,60
VITNTMQVZETVPRTCHXAT,2,63
VWDYQPTVUNDWFKSVWABA,6,11
DHMPDRCSRBEFHICODTYP,4,45
IYBNONYDHOKIJZLQNAIE,10,33
QUBLOMMHDDCUWZRTUOLD,1,53
NSRWIIGIOQLAVFCLHBFZ,7,33
AZHTNTIGKQUZPZQGMWPN,10,46
MQIGIWFRFSUNZKWVQUAV,7,50
SVYULHJSESNRWSKHHDCG,1,89
SPOIPGKQIHNFVTDFGKYR,9,21
IPDTKVXPJEDCGYWRRBZD,9,39
QMXKVDYFLWISXFWRXUQH,4,37
MTGYRSQCCXKIYFYQYTFR,1,27
HRFEDWNCZYGEDENIJNVL,10,27
BBBUAWBJIKZVJAQXZKEG,3,57
KNBJSMZJRPKZJCGBHUVI,3,24
EXSGFCGRUPYPVMUFJMIV,9,50
EFBQGQFPKVTOUVFZITGP,9,43
BCXMHDIWWTKWURAXQSFI,4,23
JUUDHXPQXOVOQXWWTEHM,7,99
TMQLHHXTNUTQUTXANMGA,7,20
AUQNVLETWTWZDNBWICDC,2,19
LASKNIZAQQKBERXVGZGG,5,64
TAITCTNXEROMUWPKWLOP,2,84
VBANRXROZAZWVJZDOYEJ,1,40
UDCTMDPYKXLAXTLNYXMY,6,81
OIRHYBFDDDBTKVRQRFQE,9,59
KXUSPGKKHXKDVUJHSNGP,10,12
UGEGXNRWAUAWRVVVPIGP,1,23
UFLSKNDVHUPLKPWGIBPR,5,94
GFIBWZZMBNOJFCDAHHZS,2,96
JOZBXRIDDCKCWHTSYALQ,9,13
QQUWZZANVMVYBMSLXTZA,10,68
VVSEZZCFVAHDUPIBJVVN,3,71
ELRMXYZRVPDFULSMGKZL,6,93
ZVVPBUAOIYQCFCEGYEYC,10,21
AJXNLGRFALRFRNSORXLC,8,32
IJJXFGFEVAUUTHFUIGFO,3,66
MXTLETCLFPLBZQOTOLMD,5,64
OJSAUOKCXUDVDSGZJTQK,8,22
MGWSWWQPVMVPZZSBLLUN,5,90
MHOTWUONOZYKLNEFKACV,7,93
IJAGEEDZYVWQHWMTSDCQ,3,68
DPYSBTEOXRUSVBVZSETY,9,14
KIMYOHTICVFCDSBIZMPE,5,78
JSALRKOTCLBTKILQPPNE,3,22
EMQRKHSCXEFRKYZBMVSZ,8,79
ILKYOSOLGOCJJZXULZYT,6,24
MAQDIFNAUURMQUTAZSWI,7,16
XEPWJLESHAJJBIDUUTSL,6,100
BFFOLAERGEMYNOLZFDAH,6,71
PUPUNWSBFQCYVUVVQHOA,9,16
JAHJWDGGWKJSCZJAGMJF,8,37
UVGKQMVUIWEHOHSNFMFU,9,27
ONXMXDRLRCTYRARMARYU,6,52
ZCEDNWBNPQRPWJWUAIKD,5,44
AIWUTURPYQDFBGYBYWRQ,5,70
WFUQENNJEIUCEKUMSCAE,10,24
NMVWVUKNUHPUIZUUIYAL,1,12
BEPPOPHSVOFSZQCUZAEW,1,60
PKMLYJWCRMMHCVCPLRLR,7,92
NPQTHEWRAWCCNGHQCIMO,2,69
OAGMWTKMZQFTIBTNFKFB,3,66
GENUATXUXWZMGBCGSLJJ,7,22
BMPIESNKQZXPTMSZSMVT,1,55
GQMFZMWNUIXAMAFFYBHW,5,82
FUVVGQVFXVWLUOZXDICE,8,41
OXAOJROFRSNYDMJHSTNI,5,18
TTTJXVJONJXSGROTLYQY,9,35
MEIPCSXONPATQITYYHNJ,4,83
GNOTXEFXRKWRGLFOVHKQ,3,37
CECBIXZQDHJZLFKHBQZG,1,54
AUASMKNDFBDDQXPAQCJO,10,58
JZUXRGGFDNQQYFEUWTLP,7,17
KWDPPWGVWDPQHPJYHZTW,4,89
GPVJVMIRBJNFIZGHFROV,3,75
VQYOKJXKDUEPSPTXORBA,4,67
MNKFDCNAYFRKGTAIAHCI,10,97
EKNTDFGLEIRNEKQFKRKD,4,79
KZXBJIKMLUIAJLQWEWIJ,3,78
ESBHUJNNTNHGTZVFSERW,3,40
CMBLUTNBZMRGMTFHYLXX,7,58
GGXGYGAVXPHSFPRRFCBQ,7,81
WBWFGQCVUMKRQSTKJTMN,9,18
BDVQARARXERLIIYRGYZQ,2,97
BGGBKNYGHUOBGVWAMQGS,5,52
KZLKYCBNQVZPMLFERLLI,4,65
AINWUXERDHLOVKDKIDJZ,5,50
NGGYZUZQHCABJXZUHSAW,3,48
GLKEZPSORWMHZRZPWLHQ,3,27
SYGJNDRKTJCVMPVHZLFS,1,23
PMEDMGTCWBHSEMAQYKAN,6,89
YOOOCYQSWACKOKVYKNTJ,10,82
HXOLLECEBATVDOMHUQYM,4,57
ATRPINWQCNMPIATNUMHC,10,48
IOXWMZGHQXGGFZKMTBAZ,5,77
LVJTWJRXHFYIWNNRVQUW,6,91
MFDMYYBWRLRZIXPPTJKG,4,65
KVDQZVKVEHNEZDLRRHLJ,2,93
RQSVRRUSHKLSIIQUSLND,3,81
CUHPARILMFIYUOOLPWNE,10,57
ZMGTBIJJCNDDBVDPQTHT,10,23
ECFPPDNFZPYEBVTEWOKH,10,96
FRBCRYWEDGZKYKJETVRV,6,65
HUHAWSWBRKVKTIMZUXKH,1,57
GNBYRUFTIFAVHECRQTTN,6,86
LHNXLGSEWFDQMJKRYSHR,5,79
IRTMLKIFWXJQVGLJZDCI,5,58
SSSDEVJFIQNBEDHXTPHU,8,34
UPTPECUKIYCOAFYLTQQO,8,21
MLPBLPWRTZDABUYTGFSV,5,87
HJSIIOQFOAKLOXDTCWGR,1,51
DQCPIFVTHSUPWVXKGANU,5,41
PPOGQOPTRSSIUNRUESFI,7,53
SSXGLQJYGHSQXNDRJTYQ,5,53
ZCKUQJYOUDJPDJSCBQGC,8,98
GRGEPOOCAGLKUADMXDPE,2,15
YOPAMMMUGWFRRNVFDAZT,10,89
XAVOMRROAHQTDSQJDHIJ,9,78
EPHTSVTQKQWOUDXLEYCI,10,56
FYSMVIRWFJKZHPHMRQZR,10,70
KQGXJKOPDOMVQAYYHULK,8,59
FDVRJBRGLPUXQTJHLYET,7,99
QSPCMYSLNWKFVMSZCJDQ,2,85
IBBUJLLUGDDWDBSQFSEO,9,71
WUJWOVDTGBQCOAKZCLLD,5,27
WHBSVVBZQWIJEDTJYMGS,10,68
KZBBLYBIRFKCGNNUCHVA,4,93
BJCEYMKONEUGVAKUZKUA,2,41
MDMYQOEPHSQLJWYYUHAN,10,39
LWFITWJZJBCUDSZGBCFP,4,81
NCGKYKRLOZOCTQUUMDIE,4,20
XTZQVQAAMUYCSFVIDEOG,5,31
RCFIJWKAJSXTBNYCEISR,2,20
JKLJPCGFWIVZQWITSFAE,10,69
EFVFWVTLTLSLCAVKELFS,9,74
ZKLEZAKNAZXWAUIKOVHO,5,66
WDTBOKYOJCFKWGNSQAVX,2,71
OUOAJUGHFZCRHJUHXOYD,7,34
YSVZTJQOTOHQVAIRENED,5,88
YLNNWVQSBPBTFZRQQBMS,8,97
SHVSWIPTNLIMWNOOESCE,8,78
IPXKZVIAURQKTWEGDJCY,3,93
GWRNDSULEKWMFCUPYTRB,4,98
ZVRKOIDTLBXDXCLNJYGY,2,92
QLVPZSZYSMCQXGHGAWJU,8,63
LJPJJKTCTWSGDEDSZFQP,2,95
QLSJLACJCZCJRDSUVMFP,4,36
OEYGXVBMRHGBSGZLTBLN,8,17
DDPRWGIKUTCCYWLEGNYL,7,36
SHEEWPHLNJTEDXHMHWWY,9,77
CXINZHDTRLGRBSLNFKGI,7,71
QEWYWDUEOWOXASUCXWEI,10,84
OYDDDBHGUNHITWYATLPD,6,100
LOWJSHSSZCYIDSVVZOWF,9,50
XQTKQJRXLAVFPNHFBXRD,1,17
CTDSAATEXFSGQDGQKMCQ,10,33
YHQCPCZGKSULBGGJEALD,5,51
RLPMTIWCMZWSDAPCTWYU,7,36
QUTBQDPBFLACGTXXWBHV,9,92
EZPOQFWIXLCCGWLXYRRC,5,44
LGGGEBBDATQVHUGMZXCD,6,80
JHVFPXAABPINZWEJDTZZ,9,17
XDIWGZZXYBGOZKXHMNEV,10,69
CGYKMNTUZXACZWQYHGMR,5,58
VIVVCWDLLIMRURXIKMUY,9,20
TOZKUYCSWVGUKCMJVMXE,9,90
UQMWSGIUPBKIGXNOCEZW,1,90
OOFQNNNHDURIAOTZXITC,10,63
UDINRNBWGPYALMHBSVEM,8,86
FQHXIYTGMCUJDJYWTTWZ,2,51
QWVVHHLQLISWQBUHJYGR,8,49
PSEFZEQXUXKEQQOZNREA,5,54
VRAZVODIAPWPSYXTTCBX,10,80
FDYGRXURTWFBCFIBCEAS,8,79
CCVAUOHSXPKDIGRGZTWK,6,67
JLQNTMUAZHDFJEICGVYC,6,53
EYZUVTVYWIWOHOZVKSPG,8,35
RSVCVBBYEJYTACEDLHWR,1,72
FGOCFISGBVXEEPKINFFX,10,93
GSFAGDCNIBAQXBPEEXQM,3,33
QMLCIUSWWOOQDKONTDYQ,7,81
XLCRTZPJUUSOQHWOYGKX,3,46
QDVWOUKXKEHXLVOTNQYI,3,41
VAXJUYSRKWFDWVSIZYRS,8,25
ZDEMXZBJKBDOYEWRSCUR,10,40
BYKLTWMTHWOIASQXHCBU,2,84
APHMOWIVZCEOTQFEDFDK,6,79
UVIEEIWZSDHFQJQSHTRB,3,48
IARSTHIHDJAXZKGEHVOT,9,16
ENEGVLDMYZMNVMHDHNWT,8,59
QYULKRTJWQRFCYPILOXR,10,68
SZZIICJXIWXTEHKLYLGP,7,17
KRZVSKNOMLFOKAIRLSEM,1,86
DJBMWWXDUPPTMUALDAAQ,3,92
WCNXVKESWUOXOXAZNQTM,1,62
JQRHWOAXQXFHPZZQYNHV,4,75
SJXJFORKVTMQDSOPKHJY,9,30
BNAVTSIPTTTFHITEAHFZ,8,67
TKBELZGNKKOYNFGQEZDE,3,22
WKTKOEZKOHMZQBVHAASU,5,90
QTSYPROONSSNMUCPVRXT,4,45
QZTGZDBGFKZDCKASBHUI,1,83
LVZTCQJABDCVLTMZHDNU,10,31
XGYBVLWZVZANURHERNPX,1,36
RPCPFBQZXSLHAJJSWIWL,2,28
TRHDUSANKEVTXRHSAJKQ,10,67
NTDVLMEYSFSFMUVDTFDC,2,54
TNGDSLAMCJTTFMGMNAES,9,95
PIDVYPBZYRRINCRPCXTF,10,69
ZEZYRNISQVKPSGSRPYYT,8,59
FCVFSKNDBNVKPQAEGFUA,7,73
KEVFNBOKDAGWICZMRBSX,3,49
ASRSCPGURYITIGYNLIYV,10,52
GMEJFRGXSIJDKZRWREVQ,9,79
RIGAWEAWZDSMSNTTYBSL,9,44
EZOFICSMSCZMTOXXLRYX,7,42
NIPYHLSFCAMEMHZRWCRB,5,77
FUFVZSTYLYWPEHNGWVBR,7,36
YVBAFVVSDWGCNGWKPRMK,2,76
IKMBFYCLRHRMSTDTJAHK,6,60
RNHEFXIYAGZGOMVIVZHU,1,67
VRZMIWYGZGGGMUAKRZVN,2,99
FXZLIPFGFHLPJEVYBIJE,6,73
TFHCBQKFRCGANERMDUSP,7,68
GPRSMBZYPWNBINKRNQSW,7,79
NCAIBZMGGSJODDGBFKXV,9,96
NKHMETAYGPPJQJRGWEGZ,7,26
YKJLDHYGHXQMBXIMWDWY,2,97
JRNJJPXNVQOIHWRFDGQR,10,70
XUNLOETIQEGSZOSPYPXY,8,79
MTKGBNKLGXSLRDNJBWAT,6,23
ATIAKOZBYYWXHKZYANLA,3,69
UIMXUQIZPNSRCETMFDQZ,8,69
AMYPCZRCKPXCDRFHEUGB,1,90
YPDFEGTREHDHXDNNOTOQ,4,38
OJSCPYLHJPMPJBDZWKNC,4,79
RLXVELPMECVEQYNWKRIJ,7,55
VZHFGQOCWGMNCJLZQFRW,10,63
KHYTRBKEGVVVDLDSHVON,9,40
WWPKNXDSNUYJCSDZWAYN,9,21
ZRMGTDILDHAXTFVYLSOU,4,60
EBIWYPZNJCRMYTIUJVAU,1,21
UMZSUFJMAKNVCVXWDDBL,4,43
FYNHMJVJHXMZLJKNAXZA,7,79
RFKDQUYNZDRNRHSABBXP,6,45
RLWLAOYVSONZAWNWCWCX,5,47
GBUGGRERDLCXIKOFQOZY,2,43
XCCLHVKAXLOLFNORALZT,7,86
AERPOIDILXSPFVTBXUNX,3,36
JQBBHWUTTGWXDFRALMVR,8,78
IEVRVJQUIVLLBDPCBZFX,10,25
ZQRHNALYQWEDPFQVGUQK,9,88
PUHXRFCAPQLPCYXDRWQB,1,25
CQFLXBXAZSIWOJLENKVN,3,72
OSAXIMLTZRSKWFFMEZBC,2,28
BJSEQJSOOXWOSEXZEOZZ,3,93
HMVLUTUJPJTKUZRKOVVJ,9,69
CYIHRGMKYRGLFWJOTLUP,5,85
MLTRFRDWUZSWNMLIPTQT,3,89
TQUAMCEUBWUSTYAYPRNB,8,82
OLAINOMGPXIXEMIHTSZN,3,76
QHOKVFEGKTMIDBZNMGSO,3,41
BCXWTCSMHYOXMAFSZSZF,7,91
WKQPCDHXWHWPEZMVCAYT,8,58
BIESNVYGMQFTFPHTJJGZ,8,63
LGYKQROLJDGHGHKMICXP,3,74
WMCEBWXQQNZKDBCIGNOI,6,28
XYWLXHYHYBPLBYENOWKB,1,80
HXVIXXZWVXFEYVVFDXEH,10,30
IKBVYNTQRNSMVVMYJGRU,5,53
HCPVJCNCKTXSEHPBQNGQ,9,20
NFBBLFYVRSIEJHLCWWSB,5,11
DKDIGKLYILLSDGNRAYBN,7,43
WNPUOWULPDCFEGOWRSPL,1,53
HKYXLEFLLLNZIWQCGUDX,6,81
ENXBAFDBOZCTXWZLBWXX,10,56
TDADJXZANUNSUQPFCGYW,1,75
MPQGRMIQSCWACWNBPVXI,9,63
NKDCXYXRFREITYGENLKB,2,61
MIIFFIWDCGVOVVHSYAVQ,6,84
BWPHOTQPANQBJJVISYOI,1,75
CILVSVRKWPMKNFMKWRHM,4,90
ZWXLSIAMGDRWPKQYKZKF,3,93
WHKPRPDQXVNDXOYLONBW,3,74
UDIJPRTQBFPINPDKQWSW,9,65
CODXBKKGISEKTHKMXBLC,7,48
FOYRHBSYYEQBVXKROWMV,4,12
MALAITBCPXJOATJPNUOH,1,70
KQMZYHATTYHUNUDOSZAN,1,10
MYUTGYPAUHZVVTLUNJQM,7,95
NEUOJJLGGVIWCHMBZALD,4,94
EWSIOKEYCOTXBMFTTPSU,4,32
EDPLBLTHYDWRAEHIFCOM,10,98
ROZTGVMINHCSGXYDLIWB,4,67
JOKZTINPRHUGDRHNAMLD,5,95
LKRKICFYWXCLSVRNEHRL,3,87
HMCXWNJXNXWXUTDKXYLM,8,47
UYZYLYBOUNQOEZLJFMQO,6,83
EGRGCTJDSMOHZGLCOJBX,5,53
EIKHGZZVPMCADRCOJJIL,3,77
NFTXGCZSXPZCMBVTBNFT,3,29
DTBEZWXKYBJIDEOISHTU,10,30
UNCESYGPMCUCJERUPIDK,7,30
GXQPNZBDKVEPMAIAKKLO,7,60
QPGXBITXODFBAGGFSSZW,10,87
TAQXEFGIYDTBNIQPHNUC,4,90
NIBWXDUJZXUVFEEUFEUZ,8,80
DYZSYSEAMAOQQINYQXLR,2,80
MHHFASYULNTAWFAVGPLD,5,88
CVLEEQVLZEQYILFEVKMA,10,11
KNIONSZGQLSZXMHHALEI,8,74
YSUBFRWCCXYUMJHXPHVO,5,30
ZZJRSUSDGVJXUOREWHTM,7,46
LOPFGPUHQHVVJJNMUICE,8,83
MQUSBWQWDYATCXMXZCTB,4,59
MNZGFDEXAWIQXIKDJCOT,7,22
RGSLJFPPTBDEZIYRGOKH,8,46
BPTMSTLOVZPGOPWBMMGU,5,32
OTIUDBOOVMYZBUABXZBC,5,49
LTRXVDOGJYJDDDQXUUWF,10,14
DFVMGWCTSHNXAXTKYOWA,5,70
OVWZRLGGQBXFHIABFOUU,5,67
PKTMKUVMCRHLLDGIZBES,3,16
QMEOSMEOVTLIYMWRCCER,7,30
GEZSKOHGAEEIFWUWDFLP,6,62
RREUMSFJUNXWNQNFLIBP,3,81
LWZYSXYZHKCLAHKQLSBL,4,93
GOCIZEIOXRMQSBHVXWSE,4,41
DEOLNRYERHRWNISCBXKA,3,57
ORXYTSKVDJLUZWMNHAKE,2,86
AABPZYRZPQGPWKANCNYL,10,59
SJLXXYFEWHYGEIHBMOUC,8,38
URKKVOSFZZTAOEBPIKFE,3,93
RDSWOMIMKARATNNAGRBD,7,69
SQDDTCWBFGWSBGPHPEMZ,6,85
AWOJJWFDXJTPRGBEJJWE,10,25
SCVMXMIKPSDDTZKOTIKC,3,75
SRFWXIKOJIKFTHPMJZFK,7,92
WUQDNKQLRRNSYHINSTJJ,8,53
DQNVCHHNYEKGWBACQGOX,6,60
KNFLYKZFCNQBKKQODPOG,1,23
TTINGUOXBPBSANKPGVIJ,3,33
HXLHPEHBMIPQLKAPVLMW,10,80
SODGYBAJSCTYOHENICDR,5,19
JOJXVQJAJDIELQSJMEZL,4,10
FBKHSCLCWCSXJLEOBZGW,4,66
HKOJAPVSKPNXUMZHIVQJ,2,89
CIRZRFRLTFAEKVPDRJHW,10,74
ISFWOULNFBOGTTDZDQOA,1,30
AZKQAHNDSXLLGVUCJHQF,5,15
RNNCOMXQQTDDMORJRYIU,6,75
CFSYLBKANONVOAJWGUMM,3,44
TGVHEKTLDFDTXNVTSVFT,1,14
ZGVUXNZCDMCOTPFBVREA,6,40
IQISPRCHRGVXWSMOPKLE,3,10
CNXCYTRPDYUBEDHZPZOU,8,62
DCGFMRBMHQTTFDIOTQKK,8,43
HGLMBWJPONMQLICQVRGK,3,36
XUHFXLVNCQJCHFVISOWV,1,93
SYKUVWKDKQFTUEWJJZTS,9,77
XJGQUIDGTHKPMWAZNBYV,1,39
LKAQQTCLUVPHDLMGXFUW,4,54
IJLVMNAPPOCYJPXMZSLB,2,67
GGMRINFBFGVRYCSEISTU,4,70
NRJYLMRITRIVFVHMABPO,3,53
TSQUJJFDFMEXDDYLRQMY,6,58
HJKPTQKGPZXRJEONAGBD,9,78
KWRUHKJBJNRAEDJLNKEE,7,82
NEMWFGLHKGEVJZFRDQQA,4,61
WCCCNSWTZUJLQGLKELVC,7,48
JHFCEDBLAHCXOOEDSYQY,3,68
CXKJCVZOYHQFFMRJGJEY,8,61
OINIHOAXWKODMUDPESYM,10,62
VUQUUYIRYGVAWMUMNLLH,10,48
VRCUPWUCEYJJSLYYXCMU,3,52
RREUTEFLOXMLKWHCCTZA,4,44
ZLPTMFCPOMVNSGRDNRRO,4,41
KHNASFFNZWDWXNVJPHOQ,2,30
ROPQKNUZCIAJLXUJVCUP,9,52
HQRXPNLKCXEALXKWCDHX,10,92
UNFBQREIQEULTQBBGIKZ,8,32
JZMXHZIFDWUIYHCRLDBX,9,70
YHTHMGBPUOEJJATQCDBG,9,43
NYOUTJCIRGWDMUFBUSEE,2,89
GPJHNASKPZAPWKSKMYSZ,7,53
TBZIJIWUENKIACCOPVMU,8,40
PVCBIZTNXGJNHYNCZZWM,3,33
ICHDAIUPNLFKFNGAMCKU,1,92
XOOBCVPBAGYCEWDTXMAU,5,59
JPCBHWTNLKWXESIACHRM,9,76
RUKCNMDJMGGZERCRGZUA,8,59
PAKWHCTUICIGXCCVDEDS,9,33
YAHKCVCEZDPBWQURVJJH,5,31
OBFIUFVVTXIEXZZDKFWB,4,50
IACYAKHVSBBNWRKWTDNO,4,57
XTVZXNJIPBMNIOACLEID,8,18
QQUQKABNXRESJBWCDVDH,2,47
QRZNSDMIRJXHSJWFMIKH,9,87
PMQYMUGMKCVRWXTFDNQB,6,73
VHSPILIKLEIDBZXKIOJB,5,17
OMKFLDHHWNXECDOATSDD,6,65
LNVXIWSJCOHJBXTXSBPQ,2,82
EORANBPKOYCHVPXRWFTG,6,96
